Server,IP ,domain
devsbvm3,10.241.19.108,idrac.careerbuilder.com
devsbvm4,10.241.19.109,idrac.careerbuilder.com
devsbvm5,10.241.19.110,idrac.careerbuilder.com
devsoundb,10.241.99.73,idrac.careerbuilder.com
devstrtshv10,10.241.2.20,idrac.careerbuilder.com
devstrtshv11,10.241.2.21,idrac.careerbuilder.com
devstrtshv12,10.241.2.22,idrac.careerbuilder.com
devstrtshv13,10.241.2.23,idrac.careerbuilder.com
devstrtshv15,10.241.2.25,idrac.careerbuilder.com
devstrtshv17,10.241.2.27,idrac.careerbuilder.com
devstrtshv18,10.241.2.28,idrac.careerbuilder.com
devstrtshv20,10.241.2.30,idrac.careerbuilder.com
devstrtshv3,10.241.2.13,idrac.careerbuilder.com
devstrtshv5,10.241.2.15,idrac.careerbuilder.com
devstrtshv6,10.241.2.16,idrac.careerbuilder.com
devstrtshv7,10.241.2.17,idrac.careerbuilder.com
devstrtshv8,10.241.2.18,idrac.careerbuilder.com
devstrtshv9,10.241.2.19,idrac.careerbuilder.com
devstrtshvm1,10.241.2.1,idrac.careerbuilder.com
devstrtshvm2,10.241.2.2,idrac.careerbuilder.com
devstrtsstr1,10.241.2.201,idrac.careerbuilder.com
devstrtsstr2,10.241.2.202,idrac.careerbuilder.com
devvm1,10.241.19.101,idrac.careerbuilder.com
devvm2,10.241.19.102,idrac.careerbuilder.com
devvm3,10.241.19.103,idrac.careerbuilder.com
devvm4,10.241.19.104,idrac.careerbuilder.com
devvm5,10.241.19.105,idrac.careerbuilder.com
dis-vascoidvm,10.232.15.110,idrac.careerbuilder.com
DPIBLAST1Q,10.241.212.200,idrac.careerbuilder.com
DPIMAIL1Q,10.241.212.190,idrac.careerbuilder.com
DPISVC1Q,10.241.213.100,idrac.careerbuilder.com
drdbtfs,10.232.110.128,idrac.careerbuilder.com
ghqbuild2,10.241.30.146,idrac.careerbuilder.com
ghqbuild3.ghqbuild3,10.241.30.143,idrac.careerbuilder.com
ghqfound01,10.241.30.148,idrac.careerbuilder.com
iRMCF94846,10.231.106.172,idrac.careerbuilder.com
LUIGIASYNC1,10.232.110.101,idrac.careerbuilder.com
LUIGIASYNC10,10.232.110.110,idrac.careerbuilder.com
LUIGIASYNC2,10.232.110.102,idrac.careerbuilder.com
LUIGIASYNC3,10.232.110.103,idrac.careerbuilder.com
LUIGIASYNC4,10.232.110.104,idrac.careerbuilder.com
LUIGIASYNC5,10.232.110.105,idrac.careerbuilder.com
LUIGIASYNC6,10.232.110.106,idrac.careerbuilder.com
LUIGIASYNC7,10.232.110.107,idrac.careerbuilder.com
LUIGIASYNC8,10.232.110.108,idrac.careerbuilder.com
LUIGIASYNC9,10.232.110.109,idrac.careerbuilder.com
LUIGIAUTH1,10.232.101.101,idrac.careerbuilder.com
LUIGIAUTH2,10.232.101.102,idrac.careerbuilder.com
LUIGIBATCH1,10.232.105.101,idrac.careerbuilder.com
LUIGIBATCH10,10.232.105.110,idrac.careerbuilder.com
LUIGIBATCH11,10.232.105.111,idrac.careerbuilder.com
