state,server,size
Start,rebelstapi13,790196844
Start,rebelstapi14,1580526909
Start,QTXBOBLAST01,1940735032
end,rebelstapi13,397163818
end,rebelstapi14,794377862
end,QTXBOBLAST01,887698934
