state,server,size
Start,rebelstapi13,932962603
Start,rebelstapi14,1866057879
Start,QTXBOBLAST01,2219317614
end,rebelstapi13,469152907
end,rebelstapi14,938355766
end,QTXBOBLAST01,1031681776
