state,server,size
Start,rebelstapi13,1028029669
Start,rebelstapi14,2056225317
Start,QTXBOBLAST01,2409467067
end,rebelstapi13,516735653
end,rebelstapi14,1033537911
end,QTXBOBLAST01,1126867213
