state,server,size
Start,rebelstapi13,552232115
Start,rebelstapi14,1104365959
Start,QTXBOBLAST01,1432775928
end,rebelstapi13,277304437
end,rebelstapi14,554543354
end,QTXBOBLAST01,647854489
