state,server,size
Start,rebelstapi13,599897624
Start,rebelstapi14,1199764077
Start,QTXBOBLAST01,1528187778
end,rebelstapi13,301284648
end,rebelstapi14,602537326
end,QTXBOBLAST01,695850108
