state,server,size
Start,rebelstapi13,1284777991
Start,rebelstapi14,2569655866
Start,QTXBOBLAST01,2904637697
end,rebelstapi13,645749201
end,rebelstapi14,1291531960
end,QTXBOBLAST01,1384873462
