state,server,size
Start,rebelstapi13,647497045
Start,rebelstapi14,1294962913
Start,QTXBOBLAST01,1623412798
end,rebelstapi13,325215431
end,rebelstapi14,650398889
end,QTXBOBLAST01,743713318
