state,server,size
Start,rebelstapi13,885379576
Start,rebelstapi14,1770892089
Start,QTXBOBLAST01,2124146696
end,rebelstapi13,445172977
end,rebelstapi14,890396038
end,QTXBOBLAST01,983720402
