state,server,size
Start,rebelstapi13,980430128
Start,rebelstapi14,1961092055
Start,QTXBOBLAST01,2314348525
end,rebelstapi13,492919438
end,rebelstapi14,985938391
end,QTXBOBLAST01,1079266048
