state,server,size
Start,rebelstapi13,361850833
Start,rebelstapi14,723620043
Start,QTXBOBLAST01,1057385112
end,rebelstapi13,181408873
end,rebelstapi14,362752358
end,QTXBOBLAST01,456051789
