state,server,size
Start,rebelstapi13,1170877358
Start,rebelstapi14,2341904314
Start,QTXBOBLAST01,2665798720
end,rebelstapi13,593011208
end,rebelstapi14,1186056256
end,QTXBOBLAST01,1279393852
