#TYPE VMware.VimAutomation.ViCore.Impl.V1.AdvancedSettingImpl
"Uid","Value","Description","Type","Entity","Id","Name","Client"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-sched.scsi0:0.throughputCap/","off",,"VM","ATEDrone10","VMSetting-sched.scsi0:0.throughputCap","sched.scsi0:0.throughputCap","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vmci.filter.enable/","true",,"VM","ATEDrone10","VMSetting-vmci.filter.enable","vmci.filter.enable","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vcpu.hotadd/","true",,"VM","ATEDrone10","VMSetting-vcpu.hotadd","vcpu.hotadd","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-mem.hotadd/","true",,"VM","ATEDrone10","VMSetting-mem.hotadd","mem.hotadd","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-disk.EnableUUID/","true",,"VM","ATEDrone10","VMSetting-disk.EnableUUID","disk.EnableUUID","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-replay.supported/","false",,"VM","ATEDrone10","VMSetting-replay.supported","replay.supported","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge0.pciSlotNumber/","17",,"VM","ATEDrone10","VMSetting-pciBridge0.pciSlotNumber","pciBridge0.pciSlotNumber","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge4.pciSlotNumber/","21",,"VM","ATEDrone10","VMSetting-pciBridge4.pciSlotNumber","pciBridge4.pciSlotNumber","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge5.pciSlotNumber/","22",,"VM","ATEDrone10","VMSetting-pciBridge5.pciSlotNumber","pciBridge5.pciSlotNumber","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge6.pciSlotNumber/","23",,"VM","ATEDrone10","VMSetting-pciBridge6.pciSlotNumber","pciBridge6.pciSlotNumber","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-pciBridge7.pciSlotNumber/","24",,"VM","ATEDrone10","VMSetting-pciBridge7.pciSlotNumber","pciBridge7.pciSlotNumber","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-scsi0.pciSlotNumber/","160",,"VM","ATEDrone10","VMSetting-scsi0.pciSlotNumber","scsi0.pciSlotNumber","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vmci0.pciSlotNumber/","32",,"VM","ATEDrone10","VMSetting-vmci0.pciSlotNumber","vmci0.pciSlotNumber","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-sata0.pciSlotNumber/","33",,"VM","ATEDrone10","VMSetting-sata0.pciSlotNumber","sata0.pciSlotNumber","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-scsi0.sasWWID/","50 05 05 6e 02 11 ec 10",,"VM","ATEDrone10","VMSetting-scsi0.sasWWID","scsi0.sasWWID","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vm.genidX/","9022107793045075260",,"VM","ATEDrone10","VMSetting-vm.genidX","vm.genidX","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-vmotion.checkpointFBSize/","4194304",,"VM","ATEDrone10","VMSetting-vmotion.checkpointFBSize","vmotion.checkpointFBSize","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-softPowerOff/","false",,"VM","ATEDrone10","VMSetting-softPowerOff","softPowerOff","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-toolsInstallManager.lastInstallError/","21007",,"VM","ATEDrone10","VMSetting-toolsInstallManager.lastInstallError","toolsInstallManager.lastInstallError","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-tools.remindInstall/","false",,"VM","ATEDrone10","VMSetting-tools.remindInstall","tools.remindInstall","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-toolsInstallManager.updateCounter/","9",,"VM","ATEDrone10","VMSetting-toolsInstallManager.updateCounter","toolsInstallManager.updateCounter","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-sched.scsi1:0.throughputCap/","off",,"VM","ATEDrone10","VMSetting-sched.scsi1:0.throughputCap","sched.scsi1:0.throughputCap","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
"/VIServer=cbatl\jterry.site@devvctr1:443/VirtualMachine=VirtualMachine-vm-2706/AdvancedSetting=VMSetting-scsi1.pciSlotNumber/","224",,"VM","ATEDrone10","VMSetting-scsi1.pciSlotNumber","scsi1.pciSlotNumber","VMware.VimAutomation.ViCore.Impl.V1.VimClient"
