#TYPE Deserialized.System.Management.Automation.PSCustomObject
"ICSDomain","SyncDomainWithMembership","NV Hostname","DataBasePath","NameServer","ForwardBroadcasts","IPEnableRouter","Domain","Hostname","SearchList","UseDomainNameDevolution","EnableICMPRedirect","DeadGWDetectDefault","DontAddDefaultGatewayDefault","NV Domain","TcpWindowSize","PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSComputerName","RunspaceId","PSShowComputerName"
"mshome.net","1","CBJEPROC116","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC116","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC116","43cf0ecd-7c11-4664-91d9-eaff56bc206c","True"
"mshome.net","1","CBJEPROC120","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC120","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC120","61df6add-1bc6-48d0-89aa-e42ba81af949","True"
"mshome.net","1","CBJEPROC119","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC119","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC119","a3cb27e5-856b-4cdd-9f9b-92bb8ee69699","True"
"mshome.net","1","CBJEPROC118","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC118","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC118","304a23e3-7c08-46c9-8ae5-4c66a31d98b8","True"
"mshome.net","1","CBJEPROC117","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC117","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC117","972543be-5918-4f13-9611-9f63ad7b6c06","True"
"mshome.net","1","CBJEPROC131","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC131","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC131","fc9578be-5f4f-483d-93ef-fbee270a4f91","True"
"mshome.net","1","CBJEPROC130","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC130","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC130","4d067245-feed-4cd7-88e9-589c95b94177","True"
"mshome.net","1","CBJEPROC129","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC129","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC129","f3d7bca2-c93b-4153-be41-ffe906218fee","True"
"mshome.net","1","CBJEPROC128","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC128","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC128","a95ab59f-4fd7-4d91-a173-ebb0d70ae329","True"
"mshome.net","1","CBJEPROC127","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC127","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC127","26ed114a-b102-44e7-a8b8-c109305d08ee","True"
"mshome.net","1","CBJEPROC126","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC126","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC126","99beb73a-5023-4c54-a7e7-a2a6242cd069","True"
"mshome.net","1","CBJEPROC125","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC125","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC125","7b02dc1e-b90d-45a2-b769-c0e518ee19b0","True"
"mshome.net","1","CBJEPROC123","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC123","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC123","252e6c48-7aec-40ad-8cf0-bdea7f68a5ba","True"
"mshome.net","1","CBJEPROC122","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC122","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC122","ddd26574-76ca-4c05-85e8-35754060c440","True"
"mshome.net","1","CBJEPROC124","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC124","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC124","d2753eb0-6c95-4b92-9eef-309122659dde","True"
"mshome.net","1","CBJEPROC121","C:\Windows\System32\drivers\etc","","0","0","atl.careerbuilder.com","CBJEPROC121","","1","1","1","0","atl.careerbuilder.com","64240","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip\Parameters\","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\tcpip","Parameters","HKLM","Microsoft.PowerShell.Core\Registry","CBJEPROC121","05b60321-94ff-4f3b-a951-3d647aace942","True"
