#TYPE Selected.VMware.Vim.GuestInfo
"HostName","ToolsVersionStatus"
"GHQREBELWEB02.atl.careerbuilder.com","guestToolsCurrent"
"GHQVMailSM04.atl.careerbuilder.com","guestToolsCurrent"
"ATEDRONE05.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBASYNC02.atl.careerbuilder.com","guestToolsCurrent"
"GHQREBELWEB01.atl.careerbuilder.com","guestToolsCurrent"
"ghqrelay1.atl.careerbuilder.com","guestToolsCurrent"
"ghqpiauditfe06","guestToolsCurrent"
"GHQVORKIN02.atl.careerbuilder.com","guestToolsCurrent"
"GHQPIOpenChef01","guestToolsCurrent"
"GHQBUILD08.cb.careerbuilder.com","guestToolsCurrent"
"GHQBUILD09.cb.careerbuilder.com","guestToolsCurrent"
"GHQVREBWWW08.atl.careerbuilder.com","guestToolsCurrent"
"GHQCHIIMG01.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBWWW07.atl.careerbuilder.com","guestToolsCurrent"
"GHQSNC.atl.careerbuilder.com","guestToolsCurrent"
"GHQVCHIWS01.atl.careerbuilder.com","guestToolsCurrent"
"GHQBuild06.cb.careerbuilder.com","guestToolsCurrent"
"GHQVCHIDIO03.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBSTAPI03.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBWWW03.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBASYNC03.atl.careerbuilder.com","guestToolsCurrent"
"GHQBLAST02.atl.careerbuilder.com","guestToolsCurrent"
"GHQVCHIASYNC03.atl.careerbuilder.com","guestToolsCurrent"
"GHQVCHIWS03.atl.careerbuilder.com","guestToolsCurrent"
"GHQVBATCHD01.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBWS03.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBWWW02.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefopen","guestToolsCurrent"
"GHQPIOpenChef02","guestToolsCurrent"
"GHQVCHIWWW05.atl.careerbuilder.com","guestToolsCurrent"
"ghqpireport04.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefcp4.atl.careerbuilder.com","guestToolsCurrent"
"GHQFOUND01.cb.careerbuilder.com","guestToolsCurrent"
"ghqpiawsupload1","guestToolsCurrent"
"ATEDRONE08.atl.careerbuilder.com","guestToolsCurrent"
"ghqpicheffe01","guestToolsCurrent"
"converter","guestToolsNotInstalled"
"GHQVCHIDIO02.atl.careerbuilder.com","guestToolsCurrent"
"PIREPORT1.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefcrp2","guestToolsNotInstalled"
"GHQVSVC03.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefcp3","guestToolsNotInstalled"
"ghqpibackup01","guestToolsCurrent"
,"guestToolsNotInstalled"
"ghqpichefdb2","guestToolsCurrent"
"GHQVCHISTAPI03.atl.careerbuilder.com","guestToolsCurrent"
"ATEDRONE06.atl.careerbuilder.com","guestToolsCurrent"
"GHQVREBSTAPI01.atl.careerbuilder.com","guestToolsCurrent"
"ghqpiartifact04","guestToolsCurrent"
"GHQVCHISTAPI02.atl.careerbuilder.com","guestToolsCurrent"
