datastore,path,file,size,moddate
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] contentlib-cc0fb36a-2127-488a-abf7-42cb882d5d82/7a07b860-d565-46c2-8c60-6fb578fce603/,disk-vdcs-2_401e4d5a-a32c-43b2-b8e6-cd06909c51dc.vmdk,257949696,03/09/2016 13:38:01
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] contentlib-cc0fb36a-2127-488a-abf7-42cb882d5d82/7a07b860-d565-46c2-8c60-6fb578fce603/,disk-vdcs-1_401e4d5a-a32c-43b2-b8e6-cd06909c51dc.vmdk,16539189248,03/09/2016 14:28:38
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] gn-chidev2k8-2/,gn-chidev2k8-2.vmdk,75161927680,12/17/2015 16:29:00
CHIAPP02S2_VOL2,[CHIAPP02S2_VOL2] gn-chidev2k8-2/,gn-chidev2k8-2_1.vmdk,75161927680,12/17/2015 16:29:16
CHIAPP02S2_VOL3,[CHIAPP02S2_VOL3] contentlib-d2700978-143a-4cb0-8723-c9a386ff2fa4/53ba42c2-2224-4bf6-a102-1a8341282640/,disk-vdcs-1_0bc97593-46b5-4156-bced-5f581280dd78.vmdk,16490954752,09/25/2015 13:52:50
CHIAPP02S2_VOL3,[CHIAPP02S2_VOL3] gn-chi2k12-3/,gn-chi2k12-3.vmdk,64424509440,12/14/2015 20:22:07
CHIAPP02S2_VOL3,[CHIAPP02S2_VOL3] gn-chi2k12-3/,gn-chi2k12-3_1.vmdk,64424509440,12/14/2015 19:59:36
CHIAPP02S2_VOL3,[CHIAPP02S2_VOL3] chi-2k12tst-1/,chi-2k12tst-1_1.vmdk,64424509440,12/01/2015 17:34:14
CHIAPP02S2_VOL3,[CHIAPP02S2_VOL3] chi-2k12tst-1/,chi-2k12tst-1.vmdk,64424509440,12/01/2015 20:34:33
CHIAPP02S2_VOL4,[CHIAPP02S2_VOL4] gn-chi2k8tst-5/,gn-chi2k8tst-5_1.vmdk,75161927680,01/05/2016 12:00:53
CHIAPP02S2_VOL4,[CHIAPP02S2_VOL4] gn-chi2k8tst-5/,gn-chi2k8tst-5.vmdk,75161927680,01/05/2016 12:00:37
